SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
360 Capital REIT (ASX:TOT),5736952,Diversified REIT,Public Company,Operating,Australia,NA,0,"201,767",112.6,360 Capital REIT
A Self-Administered Real Estate Investment Trust Inc. (KOSE:A140910),4864318,Diversified REIT,Public Company,Operating,South Korea,1.12,"40,153","94,106",17.2,A Self-Administered REIT
Abacus Property Group (ASX:ABP),4143476,Diversified REIT,Public Company,Operating,Australia,0.49,"1,709,241","5,407,059","2,269.9",Abacus Property Group
abrdn Property Income Trust Limited (LSE:API),4143592,Diversified REIT,Public Company,Operating,United Kingdom,0.28,"110,625","526,563",199.0,abrdn Ppty Income Trust Ltd.
Acadia Realty Trust (NYSE:AKR),103085,Retail REIT,Public Company,Operating,USA,0.86,"1,857,609","4,261,746","1,236.0",Acadia Realty Trust
Acanthe Développement (ENXTPA:ACAN),4143661,Office REIT,Public Company,Operating,France,0.00,0,"165,627",57.4,Acanthe Développement
Accelerate Property Fund Limited (JSE:APF),4423637,Retail REIT,Public Company,Operating,South Africa,0.77,"4,575,359","11,076,213","1,212.2",Accelerate Property Fund Ltd.
Activia Properties Inc. (TSE:3279),4325513,Diversified REIT,Public Company,Operating,Japan,0.95,"260,350","562,273",332.7,Activia Properties Inc
"Adriano Care SOCIMI, S.A. (BME:YADR)",28974652,Healthcare REIT,Public Company,Operating,Spain,0.06,"6,726","125,440",129.6,Adriano Care SOCIMI S.A.
Advance Logistics Investment Corporation (TSE:3493),10964833,Industrial REIT,Public Company,Operating,Japan,0.73,"47,280","115,044",91.6,Advance Logistics Invt Corp.
Advance Residence Investment Corporation (TSE:3269),4252561,Residential REIT,Public Company,Operating,Japan,0.97,"222,709","459,988",455.0,Advance Residence Invt Corp.
Advance Terrafund REIT (BUL:ATER),4862568,Specialty REIT,Public Company,Operating,Bulgaria,NA,0,"256,634",240.9,Advance Terrafund REIT
